standard_path,current_sp_access,data_type,instance_count,any_writable,all_writable,proposed_change
Device.DeviceInfo.AntennaInfo.HeightType,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.DeviceInfo.DnPrefix,READ_WRITE,string,1,0,0,NARROW_to_RO
Device.DeviceInfo.SAS.RadioEnable,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.DeviceInfo.SAS.RadioEnable3,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.MRECGIList,READ_WRITE,string,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.MeasureItems,READ_WRITE,string,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.MeasureType,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.MrPassword,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.MrUsername,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.PrbNum,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.SampleBeginTime,READ_WRITE,DATE_TIME,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.SampleEndTime,READ_WRITE,DATE_TIME,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.SamplePeriod,READ_WRITE,U_INT,1,0,0,NARROW_to_RO
Device.FAP.MRMgmt.Config.{i}.SubFrameNum,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.FAP.PerfMgmt.Config.{i}.Password,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.FAP.PerfMgmt.Config.{i}.PeriodicUploadTime,READ_WRITE,DATE_TIME,1,0,0,NARROW_to_RO
Device.FAP.PerfMgmt.Config.{i}.Username,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.IP.Interface.{i}.IPv4Address.{i}.AddressingType,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.IP.Interface.{i}.IPv4Address.{i}.IPAddress,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.IP.Interface.{i}.IPv4Address.{i}.SubnetMask,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.ManagementServer.ParameterKey,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.ManagementServer.URL,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.Ipsec.IPSEC_PORT,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.Ipsec.IPSEC_PORT_NAT_T,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.Ipsec.IPSEC_RIGHTIKEPORT,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.Ipsec.IpsecUsimAuthenticationEnable,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.Ipsec.LEFT_INTERFACE,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Capabilities.LTE.NNSFSupported,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.EPC.EAID,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.EPC.PLMNList.{i}.CellReservedForOperatorUse,READ_WRITE,BOOLEAN,12,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.CA.PARAMS.CARRIER_MODE,READ_WRITE,BOOLEAN,2,1,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.CellRestriction.CellBarred,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DRX.DRXEnabled,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.ContentionResolutionTimer,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.MaxHARQMsg3Tx,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.MessagePowerOffsetGroupB,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.MessageSizeGroupA,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.NumberOfRaPreambles,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.PreambleTransMax,READ_WRITE,STRING,2,0,0,NARROW_to_RO
