命令代码,命令名称,MML Codex,中文显示名称,英文显示名称,标准路径,参数类型,访问权限,原始分组,分析建议分组,原导入动作,删除原因,调整说明
LST DEVICE_INFO,列出 设备基本信息,1588_STATUS,1588_STATUS,1588 Status,Device.DeviceInfo.1588_Status,STRING,READ_ONLY,设备信息参数管理,时间服务器参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向1588/PTP同步字段映射到时间服务器参数管理
LST DEVICE_INFO,列出 设备基本信息,ADD_END_POINT,ADD_END_POINT,Add End Point,Device.DeviceInfo.AddEndPoint,STRING,READ_ONLY,设备信息参数管理,多实例状态变化通知参数,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.AddEndPoint -> Device.DeviceInfo.AddEndPoint
LST DEVICE_INFO,列出 设备基本信息,AMBR_LIMIT_SWITCH,AMBR_LIMIT_SWITCH,Ambr Limit Switch,Device.DeviceInfo.AmbrLimitSwitch,STRING,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,UE状态/接入字段映射到小区服务/接入管理
LST DEVICE_INFO,列出 设备基本信息,AZIMUTH,AZIMUTH,Azimuth,Device.DeviceInfo.AntennaInfo.Azimuth,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,AZIMUTH2,AZIMUTH2,Azimuth2,Device.DeviceInfo.AntennaInfo.Azimuth2,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,AZIMUTH3,AZIMUTH3,Azimuth3,Device.DeviceInfo.AntennaInfo.Azimuth3,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,BEAMWIDTH,BEAMWIDTH,Beamwidth,Device.DeviceInfo.AntennaInfo.Beamwidth,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,BEAMWIDTH2,BEAMWIDTH2,Beamwidth2,Device.DeviceInfo.AntennaInfo.Beamwidth2,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,BEAMWIDTH3,BEAMWIDTH3,Beamwidth3,Device.DeviceInfo.AntennaInfo.Beamwidth3,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,DOWNTILT,DOWNTILT,Downtilt,Device.DeviceInfo.AntennaInfo.Downtilt,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,DOWNTILT2,DOWNTILT2,Downtilt2,Device.DeviceInfo.AntennaInfo.Downtilt2,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,DOWNTILT3,DOWNTILT3,Downtilt3,Device.DeviceInfo.AntennaInfo.Downtilt3,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,GAIN,GAIN,Gain,Device.DeviceInfo.AntennaInfo.Gain,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,GAIN2,GAIN2,Gain2,Device.DeviceInfo.AntennaInfo.Gain2,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,GAIN3,GAIN3,Gain3,Device.DeviceInfo.AntennaInfo.Gain3,INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,HEIGHT,HEIGHT,Height,Device.DeviceInfo.AntennaInfo.Height,U_INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,HEIGHT2,HEIGHT2,Height2,Device.DeviceInfo.AntennaInfo.Height2,U_INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,HEIGHT3,HEIGHT3,Height3,Device.DeviceInfo.AntennaInfo.Height3,U_INT,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,HEIGHT_TYPE,HEIGHT_TYPE,Height Type,Device.DeviceInfo.AntennaInfo.HeightType,STRING,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,HEIGHT_TYPE2,HEIGHT_TYPE2,Height Type2,Device.DeviceInfo.AntennaInfo.HeightType2,STRING,READ_ONLY,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
