chapter_code,group_name,source,sheet,category,path,param_name,zh,access,type
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.Assoc.{i}.AdministrativeState,AdministrativeState,管理状态,RW,string(64)
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.Assoc.{i}.OperationalState,OperationalState,运行状态,R,string(64)
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.Dscp,Dscp,偶联使用的DSCP,RW,unsignedInt[0:63]
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.Enable,Enable,使能开关,RW,boolean
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.HBInterval,HBInterval,心跳时间间隔,RW,unsignedInt[1:]
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.MaxAssociationRetransmits,MaxAssociationRetransmits,本端的最大连续重传数目,RW,unsignedInt
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.MaxInitRetransmits,MaxInitRetransmits,最大初始重传数,RW,unsignedInt
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.MaxPathRetransmits,MaxPathRetransmits,最大重传次数,RW,unsignedInt
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.RTOInitial,RTOInitial,重传超时的初始值,RW,unsignedInt
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.RTOMax,RTOMax,重传超时的最大值,RW,unsignedInt
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.RTOMin,RTOMin,重传超时的最小值,RW,unsignedInt
SG,SCTP参数管理,NR,SN,SCTP参数管理,Device.Services.FAPService.{i}.Transport.SCTP.ValCookieLife,ValCookieLife,有效cookie的生命周期,RW,unsignedInt
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.N310,N310,T310定时器,RW,"unsignedInt[1:4, 6, 8, 10, 20]"
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.N311,N311,T311定时器,RW,"unsignedInt[1:6, 8, 10]"
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T300,T300,T300定时器,RW,string(64)
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T301,T301,T301定时器,RW,string(64)
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T302,T302,T302定时器,RW,unsignedInt[1:16]
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T304EUTRA,T304EUTRA,T304(EUTRA)定时器,RW,string(64)
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T304IRAT,T304IRAT,T304(异系统)定时器,RW,string(64)
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T310,T310,T310定时器,RW,"unsignedInt[0,50,100,200,500,1000,2000]"
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T311,T311,T311定时器,RW,string(64)
SH,RAN协议栈参数,LTE,SH,RRC参数管理（RRC计时器）,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RRCTimers.T320,T320,T320定时器,RW,"unsignedInt[5, 10, 20, 30, 60, 120, 180]"
SH,RAN协议栈参数,NR,SK,PDCP参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PDCP.{i}.DiscardTimer,DiscardTimer,PDCP层SDU丢弃时间,RW,"unsignedInt[10,20,30,40,50,60,75,100,150,200,250,300,500,750,1500,0x0000FFFF]"
SH,RAN协议栈参数,NR,SK,PDCP参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PDCP.{i}.PdcpSnSizeDL,PdcpSnSizeDL,PDCP层DL SN号长度中的SN长度,RW,"unsignedInt[12,18]"
SH,RAN协议栈参数,NR,SK,PDCP参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PDCP.{i}.PdcpSnSizeUL,PdcpSnSizeUL,PDCP层UL SN号长度中的SN长度,RW,"unsignedInt[12,18]"
SH,RAN协议栈参数,NR,SK,PDCP参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PDCP.{i}.QCI,QCI,PDCP层UL SN号长度中的QCI,RW,unsignedInt[0:255]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.Antenna.NumOfRxAntenna,NumOfRxAntenna,接收通道数,RW,unsignedInt[1:6]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.Antenna.NumOfTxAntenna,NumOfTxAntenna,发射通道数,RW,unsignedInt[1:6]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.Bandwidth,Bandwidth,BWP带宽（下行）,RW,"unsignedInt[5,10,15,20,25,30,40,50,60,80,90,100]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.CyclicPrefix,CyclicPrefix,循环前缀（下行）,RW,string(64)
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.DlBWPId,DlBWPId,下行BWP标识符,RW,unsignedInt[0:4]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.InterleaverSize,InterleaverSize,交织长度,RW,unsignedInt[0:2]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.RegBundleSize,RegBundleSize,REG绑定大小,RW,unsignedInt[0:2]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.RegType,RegType,CCE-REG映射类型,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.CceRegMappingType.ShiftIndex,ShiftIndex,转换索引,RW,"unsignedInt[0:274,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.ControlResourceSetId,ControlResourceSetId,控制资源集ID,RW,unsignedInt[0:11]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.Duration,Duration,符号数,RW,unsignedInt[1:3]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.FrequencyDomainResources,FrequencyDomainResources,控制资源集频域范围,RW,string(45)
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.PdcchDMRSScramblingID,PdcchDMRSScramblingID,PDCCH DMRS加扰ID,RW,"unsignedInt[0:65535,0x0FFFFFFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonControlResourceSet.PrecoderGranularity,PrecoderGranularity,预编码粒度,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.ControlResourceSetId,ControlResourceSetId,控制资源集ID,RW,unsignedInt[0:11]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.DciFormat00And10En,DciFormat00And10En,公共搜索空间DCI格式开关,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.Duration,Duration,监测时隙数目,RW,"unsignedInt[2:2559,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.MonitoringSlotOffset,MonitoringSlotOffset,监测周期偏置,RW,unsignedInt[0:2559]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.MonitoringSlotPeriodicity,MonitoringSlotPeriodicity,搜索空间周期,RW,"unsignedInt[1,2,4,5,10,16,20,40,80,160,320,640,1280,2560,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.MonitoringSymbolsWithinSlot,MonitoringSymbolsWithinSlot,监测符号位置,RW,unsignedInt[0:16383]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.SearchSpaceId,SearchSpaceId,搜索空间ID,RW,unsignedInt[0:39]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.SearchSpaceType,SearchSpaceType,搜索空间类型,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.UeSpecificDciFormats,UeSpecificDciFormats,UE专用DCI格式,RW,unsignedInt[0:1]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel1,AggregationLevel1,聚合等级1,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel16,AggregationLevel16,聚合等级16,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel2,AggregationLevel2,聚合等级2,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel4,AggregationLevel4,聚合等级4,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.CommonSearchSpaceList.{i}.nrofCandidates.AggregationLevel8,AggregationLevel8,聚合等级8,RW,unsignedInt[0:7]
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.ControlResourceSetZero,ControlResourceSetZero,CORESET#0,RW,"unsignedInt[0:15,0x00000FFF]"
SH,RAN协议栈参数,NR,SK,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.PHY.BWP.BWPDL.{i}.PDCCH.PDCCHConfigCommon.PagingSearchSpace,PagingSearchSpace,寻呼搜索空间,RW,"unsignedInt[0:39, 0x00000FFF]"
