chapter_code,group_name,command_code,operation_type,path,status
SG,SCTP参数管理,ADD SCTP_ASSOC,ADD,Device.Services.FAPControl.Transport.SCTP.Assoc.,deleted_by_000006_replaced_by_SCTP参数管理
SG,SCTP参数管理,RMV SCTP_ASSOC,RMV,Device.Services.FAPControl.Transport.SCTP.Assoc.,deleted_by_000006_replaced_by_SCTP参数管理
SG,SCTP参数管理,LST SCTP_ASSOC,LST,Device.Services.FAPControl.Transport.SCTP.Assoc.{i},deleted_by_000006_replaced_by_SCTP参数管理
SG,SCTP参数管理,LST TRANSPORT_SCTP,LST,Device.Services.FAPControl.Transport.SCTP,deleted_by_000006_replaced_by_SCTP参数管理
SG,SCTP参数管理,MOD TRANSPORT_SCTP,MOD,Device.Services.FAPControl.Transport.SCTP,deleted_by_000006_replaced_by_SCTP参数管理
SI,邻区参数管理,LST INTER_RAT_CELL_GSM,LST,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.Enable,deleted_by_000005
SI,邻区参数管理,MOD INTER_RAT_CELL_GSM,MOD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.Enable,deleted_by_000005
SI,邻区参数管理,ADD LTE_CELL,ADD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i},deleted_by_000005
SI,邻区参数管理,LST LTE_CELL,LST,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i},deleted_by_000005
SI,邻区参数管理,MOD LTE_CELL,MOD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i},deleted_by_000005
SI,邻区参数管理,RMV LTE_CELL,RMV,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i},deleted_by_000005
SI,邻区参数管理,LST LTE_CELL,LST,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.Enable,deleted_by_000005
SI,邻区参数管理,MOD LTE_CELL,MOD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.Enable,deleted_by_000005
SI,邻区参数管理,LST LTE_CELL,LST,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.NeighCellAddReason,deleted_by_000005
SI,邻区参数管理,MOD LTE_CELL,MOD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.NeighCellAddReason,deleted_by_000005
SI,邻区参数管理,LST LTE_CELL,LST,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.NeighCellTypeContainer,deleted_by_000005
SI,邻区参数管理,MOD LTE_CELL,MOD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.NeighCellTypeContainer,deleted_by_000005
SI,邻区参数管理,LST LTE_CELL,LST,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.X2Flag,deleted_by_000005
SI,邻区参数管理,MOD LTE_CELL,MOD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.X2Flag,deleted_by_000005
SI,邻区参数管理,LST LTE_CELL,LST,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.X2IP,deleted_by_000005
SI,邻区参数管理,MOD LTE_CELL,MOD,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.X2IP,deleted_by_000005
