chapter_code,group_name,source,sheet,category,path
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.Assoc.{i}.LocalPort
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.Assoc.{i}.PrimaryPeerAddress
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.Assoc.{i}.RemotePort
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.Assoc.{i}.SCTPAssocLocalAddr
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.Enable
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.HBInterval
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.MaxAssociationRetransmits
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.MaxInitRetransmits
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.MaxPathRetransmits
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.RTOInitial
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.RTOMax
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.RTOMin
SG,SCTP参数管理,LTE,SG,SCTP参数管理,Device.Services.FAPControl.Transport.SCTP.ValCookieLife
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DRX.DRXEnabled
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DrxInitialParam.{i}.DRXInactivityTimer
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DrxInitialParam.{i}.DRXRetransmissionTimer
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DrxInitialParam.{i}.DRXShortCycleTimer
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DrxInitialParam.{i}.LongDRXCycle
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DrxInitialParam.{i}.ONDurationTimer
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.DrxInitialParam.{i}.ShortDRXCycle
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.ContentionResolutionTimer
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.MaxHARQMsg3Tx
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.MessagePowerOffsetGroupB
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.MessageSizeGroupA
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.NumberOfRaPreambles
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.PowerRampingStep
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.PreambleInitialReceivedTargetPower
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.PreambleTransMax
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.ResponseWindowSize
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.SizeOfRaGroupA
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.MaxHARQTx
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.MaxUePerUlSf
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.PeriodicBSRTimer
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.RetxBSRTimer
SH,RAN协议栈参数,LTE,SH,MAC层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.TTIBundling
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.Antenna.NumOfRxAntenna
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.Antenna.NumOfTxAntenna
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.MBSFN.NeighCellConfig
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.MBSFN.SFConfigList.{i}.RadioFrameAllocationPeriod
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.MBSFN.SFConfigList.{i}.RadioFrameAllocationSize
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.MBSFN.SFConfigList.{i}.RadioframeAllocationOffset
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.MBSFN.SFConfigList.{i}.SubFrameAllocations
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.MBSFN.SFConfigList.{i}.SyncStratumID
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PDSCH.Pa
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PDSCH.Pb
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRACH.ConfigurationIndex
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRACH.FreqOffset
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRACH.HighSpeedFlag
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRACH.RootSequenceIndex
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRACH.ZeroCorrelationZoneConfig
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRS.NumConsecutivePRSSubfames
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRS.NumPRSResourceBlocks
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRS.PRSConfigurationIndex
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.CQIPUCCHResourceIndex
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.DeltaPUCCHShift
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.K
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.N1PUCCHAN
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.NCSAN
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.NRBCQI
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.Enable64QAM
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.HoppingMode
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.HoppingOffset
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.NSB
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PaParam.PUCCHPowerCtrlSwitch
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PaParam.PUSCHPowerCtrlSwitch
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.AckNackSRSSimultaneousTransmission
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.SRSBandwidthConfig
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.SRSEnabled
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.SRSMaxUpPTS
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.TDDFrame.SpecialSubframePatterns
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.TDDFrame.SubFrameAssignment
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.ULPowerControl.Alpha
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.ULPowerControl.DeltaMCSEnabled
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.ULPowerControl.P0NominalPUCCH
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.ULPowerControl.P0NominalPUSCH
SH,RAN协议栈参数,LTE,SH,物理层参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.ULPowerControl.P0NominalPUSCHPersistent
SI,邻区参数管理,LTE,SI,GSM邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.BCCHARFCN
SI,邻区参数管理,LTE,SI,GSM邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.BSIC
SI,邻区参数管理,LTE,SI,GSM邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.BandIndicator
SI,邻区参数管理,LTE,SI,GSM邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.CI
SI,邻区参数管理,LTE,SI,GSM邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.LAC
SI,邻区参数管理,LTE,SI,GSM邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.PLMNID
SI,邻区参数管理,LTE,SI,GSM邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.{i}.RAC
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.CID
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.LAC
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.PCPICHScramblingCode
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.PCPICHTxPower
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.PLMNID
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.RAC
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.RNCID
SI,邻区参数管理,LTE,SI,TD邻区参数管理,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.UMTS.{i}.UARFCNDL
