chapter_code,group_name,subgroup,lst_command,mod_command,total_params,rw_params
SG,SCTP参数管理,SCTP参数管理,LST SG_SUB_01,MOD SG_SUB_01,25,20
SH,RAN协议栈参数,物理层参数管理,LST SH_SUB_01,MOD SH_SUB_01,163,159
SH,RAN协议栈参数,MAC层参数管理,LST SH_SUB_02,MOD SH_SUB_02,22,22
SH,RAN协议栈参数,RRC参数管理（RRC计时器）,LST SH_SUB_03,MOD SH_SUB_03,20,20
SH,RAN协议栈参数,RNAU周期,LST SH_SUB_04,MOD SH_SUB_04,1,1
SH,RAN协议栈参数,PDCP参数管理,LST SH_SUB_05,MOD SH_SUB_05,4,4
SH,RAN协议栈参数,RLC参数管理,LST SH_SUB_06,MOD SH_SUB_06,5,5
SI,邻区参数管理,NR邻区参数管理,LST SI_SUB_01,MOD SI_SUB_01,12,12
SI,邻区参数管理,LTE邻区参数管理,LST SI_SUB_02,MOD SI_SUB_02,24,24
SI,邻区参数管理,TD邻区参数管理,LST SI_SUB_03,MOD SI_SUB_03,10,10
SI,邻区参数管理,GSM邻区参数管理,LST SI_SUB_04,MOD SI_SUB_04,7,7
SI,邻区参数管理,5G邻区参数管理,LST SI_SUB_05,MOD SI_SUB_05,15,15
SJ,移动性参数管理,切换公共参数,LST SJ_SUB_01,MOD SJ_SUB_01,5,5
SJ,移动性参数管理,A1事件测量控制参数,LST SJ_SUB_02,MOD SJ_SUB_02,95,88
SJ,移动性参数管理,A2事件测量控制参数,LST SJ_SUB_03,MOD SJ_SUB_03,117,108
SJ,移动性参数管理,A3事件测量控制参数,LST SJ_SUB_04,MOD SJ_SUB_04,87,81
SJ,移动性参数管理,A4事件测量控制参数,LST SJ_SUB_05,MOD SJ_SUB_05,58,54
SJ,移动性参数管理,A5事件测量控制参数,LST SJ_SUB_06,MOD SJ_SUB_06,70,66
SJ,移动性参数管理,B1事件测量控制参数,LST SJ_SUB_07,MOD SJ_SUB_07,59,54
SJ,移动性参数管理,B2事件测量控制参数,LST SJ_SUB_08,MOD SJ_SUB_08,71,66
SJ,移动性参数管理,重选公共参数,LST SJ_SUB_09,MOD SJ_SUB_09,16,16
SJ,移动性参数管理,同频重选参数,LST SJ_SUB_10,MOD SJ_SUB_10,40,40
SJ,移动性参数管理,异频重选参数,LST SJ_SUB_11,MOD SJ_SUB_11,33,33
SJ,移动性参数管理,异系统重选参数,LST SJ_SUB_12,MOD SJ_SUB_12,28,28
SJ,移动性参数管理,周期性测量的配置,LST SJ_SUB_13,MOD SJ_SUB_13,9,9
SJ,移动性参数管理,公共切换参数,LST SJ_SUB_14,MOD SJ_SUB_14,1,1
SJ,移动性参数管理,报告CGI的测量配置,LST SJ_SUB_15,MOD SJ_SUB_15,1,1
SK,SON参数管理,SON参数管理,LST SK_SUB_01,MOD SK_SUB_01,59,57
SK,SON参数管理,自动开站阶段,LST SK_SUB_02,MOD SK_SUB_02,1,0
SK,SON参数管理,自动开站结果,LST SK_SUB_03,MOD SK_SUB_03,2,0
SL,WAN口配置参数管理,WAN口配置参数管理,LST SL_SUB_01,MOD SL_SUB_01,19,14
SL,WAN口配置参数管理,vlan子接口配置参数管理,LST SL_SUB_02,MOD SL_SUB_02,13,13
SL,WAN口配置参数管理,本地路由配置参数管理,LST SL_SUB_03,MOD SL_SUB_03,5,5
SM,IPsec参数管理,IPsec参数管理,LST SM_SUB_01,MOD SM_SUB_01,9,2
SN,时间服务器参数管理,时间服务器参数管理,LST SN_SUB_01,MOD SN_SUB_01,9,8
SO,GPS信息参数管理,GPS 经纬度信息,LST SO_SUB_01,MOD SO_SUB_01,3,0
SP,MR参数管理,MR参数管理,LST SP_SUB_01,MOD SP_SUB_01,16,16
SQ,性能参数管理,性能参数管理,LST SQ_SUB_01,MOD SQ_SUB_01,7,7
SQ,性能参数管理,性能补采参数管理,LST SQ_SUB_02,MOD SQ_SUB_02,3,3
SR,扩展型一体化皮基站参数,主机单元（MU）设备信息参数管理,LST SR_SUB_01,MOD SR_SUB_01,46,4
SR,扩展型一体化皮基站参数,扩展型皮站-扩展单元（EU）参数管理,LST SR_SUB_02,MOD SR_SUB_02,16,2
SR,扩展型一体化皮基站参数,扩展型皮站-远端单元（RU）参数管理,LST SR_SUB_03,MOD SR_SUB_03,21,5
SH_NR,本地分流规则,本地分流规则开关,LST SH_NR_SUB_01,MOD SH_NR_SUB_01,1,1
SH_NR,本地分流规则,IP五元组分流规则参数管理,LST SH_NR_SUB_02,MOD SH_NR_SUB_02,13,13
SH_NR,本地分流规则,DNS分流规则参数管理,LST SH_NR_SUB_03,MOD SH_NR_SUB_03,3,3
SH_NR,本地分流规则,PLMN分流规则参数管理,LST SH_NR_SUB_04,MOD SH_NR_SUB_04,2,2
SH_NR,本地分流规则,NSSAI分流规则参数管理,LST SH_NR_SUB_05,MOD SH_NR_SUB_05,2,2
SH_NR,本地分流规则,流量限制分流规则参数管理,LST SH_NR_SUB_06,MOD SH_NR_SUB_06,6,6
SH_NR,本地分流规则,分流规则流量统计,LST SH_NR_SUB_07,MOD SH_NR_SUB_07,9,4
SI_NR,基站能力参数管理,NNSF参数管理,LST SI_NR_SUB_01,MOD SI_NR_SUB_01,1,1
ST_NR,软采规则,软采参数管理,LST ST_NR_SUB_01,MOD ST_NR_SUB_01,7,6
ST_NR,软采规则,软采对等网元采集模式,LST ST_NR_SUB_02,MOD ST_NR_SUB_02,1,1
ST_NR,软采规则,Uu-extend参数采集周期,LST ST_NR_SUB_03,MOD ST_NR_SUB_03,1,1
ST_NR,软采规则,软采采集用户配置策略,LST ST_NR_SUB_04,MOD ST_NR_SUB_04,1,1
