model_code,source_file,source_sheet,source_row,entry_type,category,path,path_root,leaf_name,is_multi_instance,param_name,name_zh,importance,northbound_index,northbound_mapping,access,data_type,value_range,default_value,description,source,remark,revision_note,revision_time
CMCC_NR_V1.7,NR v1.7.xlsx,SL,13,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.Blacklisted,Device,Blacklisted,Y,Blacklisted,禁止切换标识,A,,,RW,boolean,,,"邻小区是否可以被UE作为切换目标，
1=禁止向该小区切换；
0=允许向该小区切换",3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,3,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.CID,Device,CID,Y,CID,邻区CID,A,AI,Tci,RW,unsignedLong[1:68719476735],,,邻区CID（36bit）,3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,13,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.CIO,Device,CIO,Y,CIO,小区独立偏移量,A,,,RW,"int[-24:-8, -6:6, 8:24]",,,邻区的小区独立偏移量，-6到6区间的步长为1dB，其他区间步长为2dB,3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,5,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NRCarrierARFCN,Device,NRCarrierARFCN,Y,NRCarrierARFCN,NR邻区载频的ARFCN,A,,,RW,unsignedInt[0:3279165],,,NR邻区载频的ARFCN,3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,14,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NoHOEnable,Device,NoHOEnable,Y,NoHOEnable,禁止切换标识,A,,,RW,boolean,,,"邻小区是否可以被UE作为切换目标，
1=禁止向该小区切换；
0=允许向该小区切换",<<5G NR扩展型皮基站设备规范—SON分册>>,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,15,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NoRemoveEnable,Device,NoRemoveEnable,Y,NoRemoveEnable,禁止删除标识,A,,,RW,boolean,,,"该标志位被设置后， 该邻区不允许被删除，
1=禁止删除该邻区；
0=允许删除该邻区",<<5G NR扩展型皮基站设备规范—SON分册>>,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,16,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NoXnEnable,Device,NoXnEnable,Y,NoXnEnable,禁止建立Xn标识,A,,,RW,boolean,,,该参数表示是否允许本小区与该邻区是否可建立Xn连接。1=禁止向该小区建立Xn连接；0=允许向该小区建立Xn连接,<<5G NR扩展型皮基站设备规范—SON分册>>,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,2,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.PLMNID,Device,PLMNID,Y,PLMNID,邻区PLMN ID,A,AI,PlmnIdList,RW,string(6),,,邻区PLMN ID，由MCC和MNC组成,3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,8,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.PhyCellID,Device,PhyCellID,Y,PhyCellID,邻区物理小区ID,A,AI,nRPCI,RW,unsignedInt[0:1007],,,NR邻区PCI,3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,12,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.QQualMinOffsetCell,Device,QQualMinOffsetCell,Y,QQualMinOffsetCell,小区专用最低接入信号质量偏移值,A,,,RW,"unsignedInt[1:8, 0x0000000F]",,,"取值范围：(1..8, 0x0000000F)
0x0000000F代表这个参数不存在",3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,11,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.QRxLevMinOffsetCell,Device,QRxLevMinOffsetCell,Y,QRxLevMinOffsetCell,小区专用最小接收电平偏移量,A,,,RW,"unsignedInt[1:8,0x0000000F]",,,"取值范围：(1..8,0x0000000F)
0x0000000F代表这个参数不存在",3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,10,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.Qoffset,Device,Qoffset,Y,Qoffset,小区特定偏移量,A,AI,QOffsetCell,RW,"int[-24:-8, -6:6, 8:24]",,,邻区的小区特定偏移量，-6到6区间的步长为1dB，其他区间步长为2dB,3GPP TS38.331,,,20221118-修订
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,9,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.TAC,Device,TAC,Y,TAC,邻区TAC,A,AI,nTAC,RW,unsignedInt[0:16777215],,,TAC（24bit）,3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,4,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.gNBIdLength,Device,gNBIdLength,Y,gNBIdLength,邻区gNBId长度,A,,,RW,unsignedInt[22:32],,,邻区gNBIdLength,3GPP TS38.331,,,20231020-增加gnbIDlength
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,6,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.ssbFrequency,Device,ssbFrequency,Y,ssbFrequency,SSB频点号,A,AI,ssbFrequency,RW,unsignedInt[0:3279165],,,NR邻区载频的SSB ARFCN,3GPP TS38.331,,,
CMCC_5G_EXT_PICO_V1.9.4,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,7,parameter,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.ssbSubcarrierSpacing,Device,ssbSubcarrierSpacing,Y,ssbSubcarrierSpacing,SSB子载波间隔,A,,,RW,unsignedInt[0:4],,,"子载波间隔，取值范围：{0, 1, 2, 3, 4}
0代表kHz15，1代表kHz30，2代表kHz60，3代表kHz120，4代表kHz240.",3GPP TS38.331,,,
CMCC_TD_LTE_V2.3,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SJ,8,parameter,A1事件测量控制参数,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.EUTRA.A1MeasureCtrl.1.A1ThresholdRSRP,Device,A1ThresholdRSRP,Y,A1ThresholdRSRP,A1事件RSRP门限,B,AT,A1ThresholdInterFCo,RW,unsignedInt[0:97],,,"用于EUTRA测量中,触发量为RSRP时,A1事件触发条件的绝对门限",NRM数据配置要求,,,
