chapter_code,chapter_name,command_name,command_code,operation_type,match_kind,path_count,sample_paths
SF,小区服务参数管理（总体）,FAP 载波基本配置,LST FAP_SERVICE,LST,object_prefix_current_command_node,665,Device.Services.FAPService.{i}.FAPControl.NR.AMFPoolConfigParam.{i}; Device.Services.FAPService.{i}.X_COM.LTE.ANR.AnrA3Offset; Device.Services.FAPService.{i}.X_COM.LTE.ANR.AnrReportCfgVal; Device.Services.FAPService.{i}.X_COM.LTE.ANR.InterAnrA5Threshold1RSRP; Device.Services.FAPService.{i}.X_COM.LTE.ANR.InterAnrA5Threshold2RSRP; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_SWITCH; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_UPLOAD_ADDRESS; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_UPLOAD_INTERVAL
SF,小区服务参数管理（总体）,FAP 载波基本配置,MOD FAP_SERVICE,MOD,object_prefix_current_command_node,665,Device.Services.FAPService.{i}.FAPControl.NR.AMFPoolConfigParam.{i}; Device.Services.FAPService.{i}.X_COM.LTE.ANR.AnrA3Offset; Device.Services.FAPService.{i}.X_COM.LTE.ANR.AnrReportCfgVal; Device.Services.FAPService.{i}.X_COM.LTE.ANR.InterAnrA5Threshold1RSRP; Device.Services.FAPService.{i}.X_COM.LTE.ANR.InterAnrA5Threshold2RSRP; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_SWITCH; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_UPLOAD_ADDRESS; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_UPLOAD_INTERVAL
SA,设备信息参数管理,设备基本信息,LST DEVICE_INFO,LST,object_prefix_current_command_node,123,Device.DeviceInfo.AntennaInfo.Azimuth; Device.DeviceInfo.AntennaInfo.Azimuth2; Device.DeviceInfo.AntennaInfo.Azimuth3; Device.DeviceInfo.AntennaInfo.Beamwidth; Device.DeviceInfo.AntennaInfo.Beamwidth2; Device.DeviceInfo.AntennaInfo.Beamwidth3; Device.DeviceInfo.AntennaInfo.Downtilt; Device.DeviceInfo.AntennaInfo.Downtilt2
SA,设备信息参数管理,设备基本信息,MOD DEVICE_INFO,MOD,object_prefix_current_command_node,123,Device.DeviceInfo.AntennaInfo.Azimuth; Device.DeviceInfo.AntennaInfo.Azimuth2; Device.DeviceInfo.AntennaInfo.Azimuth3; Device.DeviceInfo.AntennaInfo.Beamwidth; Device.DeviceInfo.AntennaInfo.Beamwidth2; Device.DeviceInfo.AntennaInfo.Beamwidth3; Device.DeviceInfo.AntennaInfo.Downtilt; Device.DeviceInfo.AntennaInfo.Downtilt2
SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword
SL,WAN口配置参数管理,以太网接口,ADD INTERFACE,ADD,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword
SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}.VlanInterface.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoePassword
SL,WAN口配置参数管理,以太网接口,LST ETHERNET_INTERFACE,LST,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword
SL,WAN口配置参数管理,VLAN 子接口,LST VLAN_INTERFACE,LST,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}.VlanInterface.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoePassword
SL,WAN口配置参数管理,以太网接口,MOD ETHERNET_INTERFACE,MOD,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword
