path,current_db_match,match_kind,confidence,chapter_code,chapter_name,command_name,command_code,operation_type,matched_object_prefix,matched_command_count,matched_commands,reason
DeviceGSM.Bts.Index,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.IpaUnitId,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.OmlRemoteIp,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.OmlRemoteIpBak,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Ethernet.Interface.{i}.IPv4Address.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,接口 IPv4 地址,ADD INTERFACE_I_PV4_ADDRESS,ADD,Device.Ethernet.Interface.IPv4Address.,4,ADD ADD INTERFACE_I_PV4_ADDRESS 接口 IPv4 地址; LST LST INTERFACE_I_PV4_ADDRESS 接口 IPv4 地址; MOD MOD INTERFACE_I_PV4_ADDRESS 接口 IPv4 地址; RMV RMV INTERFACE_I_PV4_ADDRESS 接口 IPv4 地址,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,ADD VLAN_INTERFACE_I_PV4_ADDRESS,ADD,Device.Ethernet.Interface.VlanInterface.IPv4Address.,4,ADD ADD VLAN_INTERFACE_I_PV4_ADDRESS VLAN 子接口 IPv4 地址; LST LST VLAN_INTERFACE_I_PV4_ADDRESS VLAN 子接口 IPv4 地址; MOD MOD VLAN_INTERFACE_I_PV4_ADDRESS VLAN 子接口 IPv4 地址; RMV RMV VLAN_INTERFACE_I_PV4_ADDRESS VLAN 子接口 IPv4 地址,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.IPv6Address.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,接口 IPv6 地址,ADD INTERFACE_I_PV6_ADDRESS,ADD,Device.Ethernet.Interface.IPv6Address.,4,ADD ADD INTERFACE_I_PV6_ADDRESS 接口 IPv6 地址; LST LST INTERFACE_I_PV6_ADDRESS 接口 IPv6 地址; MOD MOD INTERFACE_I_PV6_ADDRESS 接口 IPv6 地址; RMV RMV INTERFACE_I_PV6_ADDRESS 接口 IPv6 地址,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,ADD VLAN_INTERFACE_I_PV6_ADDRESS,ADD,Device.Ethernet.Interface.VlanInterface.IPv6Address.,4,ADD ADD VLAN_INTERFACE_I_PV6_ADDRESS VLAN 子接口 IPv6 地址; LST LST VLAN_INTERFACE_I_PV6_ADDRESS VLAN 子接口 IPv6 地址; MOD MOD VLAN_INTERFACE_I_PV6_ADDRESS VLAN 子接口 IPv6 地址; RMV RMV VLAN_INTERFACE_I_PV6_ADDRESS VLAN 子接口 IPv6 地址,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.IpRoute.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,静态路由表项,ADD ETHERNET_IP_ROUTE,ADD,Device.Ethernet.IpRoute.,5,ADD ADD ETHERNET_IP_ROUTE 静态路由表项; ADD ADD IP_ROUTE 静态路由表项; LST LST ETHERNET_IP_ROUTE 静态路由表项; MOD MOD ETHERNET_IP_ROUTE 静态路由表项; RMV RMV ETHERNET_IP_ROUTE 静态路由表项,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
