path,secondary_node_match,secondary_match_kind,secondary_confidence,reason,chapter_code,chapter_name,secondary_node_name,secondary_object_path,secondary_group_code,source_type,source_file,rematch_decision,strict_match_level,access,data_type,old_target_node_name,old_target_object_path,old_target_group_code
Device.Ethernet.Interface.{i}.IPv4Address.{i},yes,direct_existing_command_group,high,同 target_group_code 已有 MML 参数，属于当前参数树的二级命令分组,SL,WAN口配置参数管理,接口 IPv4 地址,Device.Ethernet.Interface.{i}.IPv4Address.{i}.,DEVICE_ETHERNET_INTERFACE_IPV4ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,YES_SAME_EXISTING_GROUP_CODE,direct_existing_mml_group,READ_WRITE,STRING,IPv4Address,Device.Ethernet.Interface.{i}.IPv4Address.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i},yes,direct_existing_command_group,high,同 target_group_code 已有 MML 参数，属于当前参数树的二级命令分组,SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.,DEVICE_ETHERNET_INTERFACE_VLANINTERFACE_IPV4ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,YES_SAME_EXISTING_GROUP_CODE,direct_existing_mml_group,READ_WRITE,STRING,IPv4Address,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.,
Device.Ethernet.Interface.{i}.IPv6Address.{i},yes,direct_existing_command_group,high,同 target_group_code 已有 MML 参数，属于当前参数树的二级命令分组,SL,WAN口配置参数管理,接口 IPv6 地址,Device.Ethernet.Interface.{i}.IPv6Address.{i}.,DEVICE_ETHERNET_INTERFACE_IPV6ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,YES_SAME_EXISTING_GROUP_CODE,direct_existing_mml_group,READ_WRITE,STRING,IPv6Address,Device.Ethernet.Interface.{i}.IPv6Address.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i},yes,direct_existing_command_group,high,同 target_group_code 已有 MML 参数，属于当前参数树的二级命令分组,SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.,DEVICE_ETHERNET_INTERFACE_VLANINTERFACE_IPV6ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,YES_SAME_EXISTING_GROUP_CODE,direct_existing_mml_group,READ_WRITE,STRING,IPv6Address,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.,
Device.Ethernet.Interface.{i},yes,direct_existing_command_group,high,同 target_group_code 已有 MML 参数，属于当前参数树的二级命令分组,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,DEVICE_ETHERNET_INTERFACE,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,YES_SAME_EXISTING_GROUP_CODE,direct_existing_mml_group,READ_WRITE,STRING,Interface,Device.Ethernet.Interface.,
Device.Ethernet.IpRoute.{i},yes,direct_existing_command_group,high,同 target_group_code 已有 MML 参数，属于当前参数树的二级命令分组,SL,WAN口配置参数管理,静态路由表项,Device.Ethernet.IpRoute.{i}.,DEVICE_ETHERNET_IPROUTE,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,YES_SAME_EXISTING_GROUP_CODE,direct_existing_mml_group,READ_WRITE,STRING,IpRoute,Device.Ethernet.IpRoute.,
Device.Ethernet.Interface.{i}.PppoeAddress.{i},yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,PppoeAddress,Device.Ethernet.Interface.{i}.PppoeAddress.,
Device.Ethernet.Interface.{i}.VlanInterface.{i},yes,direct_existing_command_group,high,同 target_group_code 已有 MML 参数，属于当前参数树的二级命令分组,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,DEVICE_ETHERNET_INTERFACE_VLANINTERFACE,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,YES_SAME_EXISTING_GROUP_CODE,direct_existing_mml_group,READ_WRITE,STRING,VlanInterface,Device.Ethernet.Interface.{i}.VlanInterface.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i},yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,VlanPppoeAddress,Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.,
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,
