path,entry_type,access,data_type,old_target_chapter_code,old_target_chapter_name,old_target_node_name,old_target_object_path,old_target_group_code,old_candidate_commands,rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,matched_group_code,matched_candidate_commands,match_source_type,match_source_file,match_reason,doc_category,doc_source_file,doc_source_sheet,doc_source_row
DeviceGSM.Bts.Index,parameter,READ_ONLY,U_INT,,,Bts,DeviceGSM.Bts.,DEVICEGSM_BTS,LST BTS,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,param-mappings XML 已有对象前缀，可作为对象分组依据；缺少 MML 章节/中文组名,,,,
Device.Ethernet.DefaultIpRoute.DefaultInterfaceName,parameter,READ_WRITE,STRING,,,DefaultIpRoute,Device.Ethernet.DefaultIpRoute.,DEVICE_ETHERNET_DEFAULTIPROUTE,LST DEFAULT_IP_ROUTE;MOD DEFAULT_IP_ROUTE,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.BscSelect,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.BtsNum,parameter,READ_ONLY,U_INT,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.Encryption,parameter,READ_ONLY,U_INT,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.HandoverAlgorithm,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.Hodec2CongestionCheck,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.IpaUnitId,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,gsm-transport,,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(UnitID),quicksettings XML 已有同 standardPath 的前端分组,,,,
DeviceGSM.Mcc,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.Mnc,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.NriBitLen,parameter,READ_ONLY,U_INT,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.NriNullAdd,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
DeviceGSM.NriNullDel,parameter,READ_ONLY,STRING,,,DeviceGSM,DeviceGSM.,DEVICEGSM,LST DEVICE_GSM,NO_SECONDARY_MATCH,none,,,,,,,,,未在现有 XML/JSON 分组节点或模型库文档中找到可复用分组,,,,
