path,strict_mml_tree_match,strict_match_level,strict_reason,rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,matched_group_code,match_source_type,match_source_file,old_target_chapter_code,old_target_chapter_name,old_target_node_name,old_target_object_path,access,data_type
DeviceGSM.Bts.Index,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,Bts,DeviceGSM.Bts.,READ_ONLY,U_INT
DeviceGSM.IpaUnitId,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,gsm-transport,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(UnitID),,,DeviceGSM,DeviceGSM.,READ_ONLY,STRING
DeviceGSM.OmlRemoteIp,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,gsm-transport,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(RemoteIP),,,DeviceGSM,DeviceGSM.,READ_ONLY,STRING
DeviceGSM.OmlRemoteIpBak,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,GSM 传输参数,,gsm-transport,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BTS.xml#gsm-transport:GSM 传输参数(RemoteIPBak),,,DeviceGSM,DeviceGSM.,READ_ONLY,STRING
Device.Ethernet.Interface.{i}.IPv4Address.{i},yes,direct_existing_mml_group,同 target_group_code 已有 MML 参数，属于当前参数树分组,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,接口 IPv4 地址,Device.Ethernet.Interface.{i}.IPv4Address.{i}.,DEVICE_ETHERNET_INTERFACE_IPV4ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,,,IPv4Address,Device.Ethernet.Interface.{i}.IPv4Address.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i},yes,direct_existing_mml_group,同 target_group_code 已有 MML 参数，属于当前参数树分组,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}.,DEVICE_ETHERNET_INTERFACE_VLANINTERFACE_IPV4ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,,,IPv4Address,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.IPv6Address.{i},yes,direct_existing_mml_group,同 target_group_code 已有 MML 参数，属于当前参数树分组,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,接口 IPv6 地址,Device.Ethernet.Interface.{i}.IPv6Address.{i}.,DEVICE_ETHERNET_INTERFACE_IPV6ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,,,IPv6Address,Device.Ethernet.Interface.{i}.IPv6Address.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i},yes,direct_existing_mml_group,同 target_group_code 已有 MML 参数，属于当前参数树分组,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}.,DEVICE_ETHERNET_INTERFACE_VLANINTERFACE_IPV6ADDRESS,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,,,IPv6Address,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.,READ_WRITE,STRING
Device.Ethernet.Interface.{i},yes,direct_existing_mml_group,同 target_group_code 已有 MML 参数，属于当前参数树分组,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,DEVICE_ETHERNET_INTERFACE,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,,,Interface,Device.Ethernet.Interface.,READ_WRITE,STRING
Device.Ethernet.IpRoute.{i},yes,direct_existing_mml_group,同 target_group_code 已有 MML 参数，属于当前参数树分组,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,静态路由表项,Device.Ethernet.IpRoute.{i}.,DEVICE_ETHERNET_IPROUTE,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,,,IpRoute,Device.Ethernet.IpRoute.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.PppoeAddress.{i},yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,PppoeAddress,Device.Ethernet.Interface.{i}.PppoeAddress.,READ_WRITE,STRING
