record_type,command_code,standard_path,base_mml_code,access_type,source_candidate,resolve_method,skipped_reason
binding,LST DEVICE_INFO,Device.DeviceInfo.1588_Status,1588_STATUS,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.AddEndPoint,ADD_END_POINT,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.AmbrLimitSwitch,AMBR_LIMIT_SWITCH,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.AmbrLimitSwitch,AMBR_LIMIT_SWITCH,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.BDS_Status,BDS_STATUS,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.CloudKey,CLOUD_KEY,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.DNS_CONFIG_IPMODE,DNS_CONFIG_IPMODE,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.DNS_CONFIG_IPMODE,DNS_CONFIG_IPMODE,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.DelEndPonit,DEL_END_PONIT,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ETH1_STATUS_SPEED,ETH1_STATUS_SPEED,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.ElectronicDowntilt,ELECTRONIC_DOWNTILT,RO,LST DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.Enable256QAM,ENABLE256QAM,RW,LST DEVICE_INFO,parent_exact,
binding,MOD DEVICE_INFO,Device.DeviceInfo.Enable256QAM,ENABLE256QAM,RW,MOD DEVICE_INFO,parent_exact,
binding,LST DEVICE_INFO,Device.DeviceInfo.FaultLogURL,FAULT_LOG_URL,RW,LST DEVICE_INFO,parent_exact,
