standard_path,link_count,command_count,operation_types,chapter_codes,command_codes,group_codes,description
Device.DeviceInfo.AmbrLimitSwitch,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.DNS_CONFIG_IPMODE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.DnPrefix,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.Enable256QAM,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.FaultLogURL,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.HOST_CONFIG_DNS1,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.HOST_CONFIG_DNS2,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.LAN_CONFIG_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.LAN_CONFIG_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.LTE_LGW_TRANSFER_Mode,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.LTE_S1C_IFNAME,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.LTE_S1U_IFNAME,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.LTE_TR069_IFNAME,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.MU.{i}.DnPrefix,2,2,"LST,MOD",SR,LST DEVICE_INFO_MU; MOD DEVICE_INFO_MU,chapter:SR,
Device.DeviceInfo.MU.{i}.Reboot,2,2,"LST,MOD",SR,LST DEVICE_INFO_MU; MOD DEVICE_INFO_MU,chapter:SR,
Device.DeviceInfo.MU.{i}.UserLabel,2,2,"LST,MOD",SR,LST DEVICE_INFO_MU; MOD DEVICE_INFO_MU,chapter:SR,
Device.DeviceInfo.NET_IFCONFIG_INTERFACE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.PowerSpectralDensity,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.PowerSpectralDensity1,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.PowerSpectralDensity2,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.PowerSpectralDensity3,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROLLBACK_CONTROL,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
