model_code,category,path,path_root,entry_type,name_zh,doc_access,doc_data_type,standard_param_id,std_entry_type,std_access,std_data_type,std_description,mml_action,already_in_mml,current_mml_commands,match_method,target_chapter_code,target_chapter_name,target_node_name,target_object_path,target_group_code,candidate_commands,source_file,source_sheet,source_row
CMCC_5G_EXT_PICO_V1.9.4,多实例状态变化通知参数,Device.DeviceInfo.AddEndPoint,Device,parameter,多实例新增,,string(128),9e240d03-905d-4a12-b35b-1e42cd87b98d,parameter,READ_ONLY,STRING,,add_to_existing_command,no,,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SA,85
CMCC_LTE_V2.1,多实例状态变化通知参数,Device.DeviceInfo.DelEndPonit,Device,parameter,多实例删除,R,string(64),0a4745f0-c6a3-4cd0-ab68-f10e4af235ed,parameter,READ_ONLY,STRING,,add_to_existing_command,no,,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,LTE V2.1.xlsx,SR,32
CMCC_LTE_V2.1,小区参数管理,Device.Services.FAPService.{i}.Capabilities.MaxTxPower,Device,parameter,最大发射功率,R,unsignedInt,d2e321a4-e672-4d03-8f52-ac6bd67602ba,parameter,READ_ONLY,U_INT,,add_to_existing_command,no,,parent_exact,SF,小区服务参数管理（总体）,FAP 载波能力集,Device.Services.FAPService.{i}.Capabilities.,DEVICE_SERVICES_FAPSERVICE_CAPABILITIES,LST FAPSERVICE_CAPABILITIES,LTE V2.1.xlsx,SF,45
CMCC_LTE_V2.1,WAN口配置参数管理,Device.Ethernet.Interface.{i}.PortType,Device,parameter,端口类型,R,string,9d75480a-8603-44b3-aa57-52a03e45e22b,parameter,READ_ONLY,STRING,,add_to_existing_command,no,,parent_exact,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,DEVICE_ETHERNET_INTERFACE,LST INTERFACE,LTE V2.1.xlsx,SL,14
CMCC_5G_EXT_PICO_V1.9.4,时间服务器参数管理,Device.Time.LocalTimeZoneName,Device,parameter,本地时区,RW,string(64),952fd431-1c77-4f28-af45-7bddbcee5487,parameter,READ_WRITE,STRING,,add_to_existing_command,no,,parent_exact,SN,时间服务器参数管理,时间同步服务器,Device.Time.,DEVICE_TIME,LST TIME;MOD TIME,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SP,9
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.3GPPSpecVersion,Device,parameter,3GPP协议版本,R,string,0a4954f0-8698-4b70-8647-373a1c813a4b,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,16
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.AdditionalHardwareVersion,Device,parameter,附加硬件版本,R,string(64),bb502075-369b-4846-9d77-c92ec2943f15,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,11
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.AdditionalSoftwareVersion,Device,parameter,附加软件版本,R,string(64),ed5bce01-be88-4429-8525-ef22a6889993,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,12
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.DataModelSpecVersion,Device,parameter,数据模型版本,R,string,594239f0-c9f5-4c68-b09f-2f537438108a,parameter,READ_ONLY,string,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,21
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.DnPrefix,Device,parameter,DN前缀,RW,string,33ee952a-8e2b-42e5-9f50-435c9cc26d80,parameter,READ_WRITE,string,,already_in_mml,yes,LST DEVICE_INFO;MOD DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO;MOD DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,3
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.FirstUseDate,Device,parameter,首次使用日期,R,dateTime,d867c8a0-02e4-42d4-9125-24cf1274fc37,parameter,READ_ONLY,DATE_TIME,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,17
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.HardwarePlatform,Device,parameter,硬件平台,R,string(64),9d0a4a46-e0fc-4274-a449-055e6c5592a2,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,10
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.HardwareVersion,Device,parameter,硬件版本,R,string(64),bca21e45-336c-4814-9f93-f18cc1678aac,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,8
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.Manufacturer,Device,parameter,制造商,R,string(64),4eaebfbc-d2ab-4bc6-864b-c70aea89a9f6,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,5
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.ManufacturerOUI,Device,parameter,制造商OUI,R,string(6),247f5384-f325-4838-b352-88c6558a77f9,parameter,READ_WRITE,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,4
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.ModelName,Device,parameter,设备型号,R,string(64),b2eb6879-9d0d-43bd-a535-312e50fac907,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,6
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.ProductClass,Device,parameter,产品分类,R,string(64),2f92e469-e93a-4c5a-a4de-38db8f7fdf51,parameter,READ_WRITE,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,14
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.ProvisioningCode,Device,parameter,供应商代号,R,string(64),267c7905-ae92-4ac1-b300-b81a789da562,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,13
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.SerialNumber,Device,parameter,序列号,R,string(64),2545558b-ccea-40f5-9850-caa6e3e41ae3,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,7
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.SoftwareVersion,Device,parameter,软件版本,R,string(64),ed1df029-35b2-4640-a3c1-414970b58522,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,9
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.UpTime,Device,parameter,运行时间,R,unsignedInt,471bdae0-a26b-47e9-ab62-fdef9cde4ac9,parameter,READ_ONLY,STRING,,already_in_mml,yes,LST DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,15
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.UserLabel,Device,parameter,用户友好名,RW,string,8fd29fbf-0b3b-4e05-b5b2-758cab19674d,parameter,READ_WRITE,string,,already_in_mml,yes,LST DEVICE_INFO;MOD DEVICE_INFO,parent_exact,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,DEVICE_DEVICEINFO,LST DEVICE_INFO;MOD DEVICE_INFO,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,2
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.SwUpgrade.FailureCause,Device,parameter,升级失败原因,R,string(512),d63e24f8-c87f-47b0-b436-73f0d00529ed,parameter,READ_ONLY,string,,already_in_mml,yes,LST DEVICE_INFO_SW_UPGRADE,parent_exact,SA,设备信息参数管理,设备软件升级状态,Device.DeviceInfo.SwUpgrade.,DEVICE_DEVICEINFO_SWUPGRADE,LST DEVICE_INFO_SW_UPGRADE,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,19
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.SwUpgrade.Stage,Device,parameter,升级阶段,R,unsignedInt[1:5],6547cb1c-c96f-4e41-9b92-81a8e3b200d9,parameter,READ_ONLY,unsignedInt,,already_in_mml,yes,LST DEVICE_INFO_SW_UPGRADE,parent_exact,SA,设备信息参数管理,设备软件升级状态,Device.DeviceInfo.SwUpgrade.,DEVICE_DEVICEINFO_SWUPGRADE,LST DEVICE_INFO_SW_UPGRADE,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,18
CMCC_TD_LTE_V2.3,设备信息参数管理,Device.DeviceInfo.SwUpgrade.Status,Device,parameter,状态,R,unsignedInt[1:3],40233263-16d4-474a-a059-816a0ddc4848,parameter,READ_ONLY,unsignedInt,,already_in_mml,yes,LST DEVICE_INFO_SW_UPGRADE,parent_exact,SA,设备信息参数管理,设备软件升级状态,Device.DeviceInfo.SwUpgrade.,DEVICE_DEVICEINFO_SWUPGRADE,LST DEVICE_INFO_SW_UPGRADE,中国移动TD-LTE皮站_飞站基站设备网络管理南向接口数据配置模型规范V2.3.xlsx,SA,20
