model_code,category,path,entry_type,name_zh,access,data_type,mml_action,match_method,standard_param_exists,already_in_mml,target_chapter_code,target_chapter_name,target_group_name,target_object_path,target_group_code,candidate_commands,source_file,source_sheet,source_row,remark
CMCC_NR_V1.7,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.Blacklisted,parameter,禁止切换标识,RW,boolean,add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,NR v1.7.xlsx,SL,13,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.CID,parameter,邻区CID,RW,unsignedLong[1:68719476735],add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,3,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.CIO,parameter,小区独立偏移量,RW,"int[-24:-8, -6:6, 8:24]",add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,13,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NRCarrierARFCN,parameter,NR邻区载频的ARFCN,RW,unsignedInt[0:3279165],add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,5,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NoHOEnable,parameter,禁止切换标识,RW,boolean,add_to_existing_command+insert_standard_param,object_prefix,no,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,14,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NoRemoveEnable,parameter,禁止删除标识,RW,boolean,add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,15,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.NoXnEnable,parameter,禁止建立Xn标识,RW,boolean,add_to_existing_command+insert_standard_param,object_prefix,no,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,16,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.PLMNID,parameter,邻区PLMN ID,RW,string(6),add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,2,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.PhyCellID,parameter,邻区物理小区ID,RW,unsignedInt[0:1007],add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,8,
CMCC_5G_EXT_PICO_V1.9.4,5G邻区参数管理,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.NeighborList.NRCell.{i}.QQualMinOffsetCell,parameter,小区专用最低接入信号质量偏移值,RW,"unsignedInt[1:8, 0x0000000F]",add_to_existing_command,object_prefix,yes,no,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,DEVICE_SERVICES_FAPSERVICE,LST FAPSERVICE;MOD FAPSERVICE,中国移动5G扩展型皮基站网管南向接口数据模型规范v1.9.4.xlsx,SL,12,
