path_group,standard_path,access,data_type,change_applies,description
Device.Ethernet,Device.Ethernet.DefaultIpRoute.DefaultInterfaceName,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.HANRU.LockBand,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.HANRU.LockCellId,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.HANRU.LockFrequency,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.HANRU.LockParam,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.HANRU.LockParamNettype,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i},READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.DPDACTION,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.DPDDELAY,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.ESP_AUTHENTICATION,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.ESP_DH_GROUP,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.ESP_ENCRYPTION,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.FRAGMENTATION,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.IKELIFETIME,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.IKE_AUTHENTICATION,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.IKE_DH_GROUP,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.IKE_ENCRYPTION,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.KEYLIFE,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.LEFTSOURCEIP,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.LEFTSUBNET,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.LEFT_AUTH,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.LEFT_CERT,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.LEFT_IDENTIFIER,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.LEFT_INTERFACE,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.LEFT_SUBNET,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.REKEYMARGIN,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.RIGHT_AUTH,READ_WRITE,INT,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.RIGHT_IDENTIFIER,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.RIGHT_SUBNET,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.SECRET_KEY,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.STATUS,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_CONFIG_LEFTIP,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_ENABLE,READ_WRITE,BOOLEAN,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_FRAGMENTATION,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_GATEWAY,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_LEFT_AUTH,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_LEFT_CERT,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_NAME,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_RIGHT_AUTH,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.TUNNEL_SECRET_KEY,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.Ipsec.{i}.USED_SOURCE_IP,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.LanConfig.LanDhcpEndIp,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.LanConfig.LanDhcpNetmask,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.LanConfig.LanDhcpStartIp,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.LanConfig.LanNetctlSwitch,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i},READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.band,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.cellID,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.channelNum,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.freqUncerThreshlod,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.phaseOffset,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.priority,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.syncInterval,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.NL.{i}.technology,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.PTP1588.DelayInterval,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.PTP1588.Domain,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.PTP1588.Interface,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.PTP1588.IpAddr,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.PTP1588.Profile,READ_WRITE,STRING,Immediate,""
Device.FAP,Device.FAP.PTP1588.ServerAddr,READ_WRITE,STRING,Immediate,""
