path_group,missing_count,sample_paths
Device.FAP,71,Device.FAP.HANRU.LockBand; Device.FAP.HANRU.LockCellId; Device.FAP.HANRU.LockFrequency; Device.FAP.HANRU.LockParam; Device.FAP.HANRU.LockParamNettype; Device.FAP.Ipsec.{i}; Device.FAP.Ipsec.{i}.DPDACTION; Device.FAP.Ipsec.{i}.DPDDELAY; Device.FAP.Ipsec.{i}.ESP_AUTHENTICATION; Device.FAP.Ipsec.{i}.ESP_DH_GROUP; Device.FAP.Ipsec.{i}.ESP_ENCRYPTION; Device.FAP.Ipsec.{i}.FRAGMENTATION; Device.FAP.Ipsec.{i}.IKELIFETIME; Device.FAP.Ipsec.{i}.IKE_AUTHENTICATION; Device.FAP.Ipsec.{i}.IKE_DH_GROUP; Device.FAP.Ipsec.{i}.IKE_ENCRYPTION; Device.FAP.Ipsec.{i}.KEYLIFE; Device.FAP.Ipsec.{i}.LEFTSOURCEIP; Device.FAP.Ipsec.{i}.LEFTSUBNET; Device.FAP.Ipsec.{i}.LEFT_AUTH; Device.FAP.Ipsec.{i}.LEFT_CERT; Device.FAP.Ipsec.{i}.LEFT_IDENTIFIER; Device.FAP.Ipsec.{i}.LEFT_INTERFACE; Device.FAP.Ipsec.{i}.LEFT_SUBNET; Device.FAP.Ipsec.{i}.REKEYMARGIN; Device.FAP.Ipsec.{i}.RIGHT_AUTH; Device.FAP.Ipsec.{i}.RIGHT_IDENTIFIER; Device.FAP.Ipsec.{i}.RIGHT_SUBNET; Device.FAP.Ipsec.{i}.SECRET_KEY; Device.FAP.Ipsec.{i}.STATUS; Device.FAP.Ipsec.{i}.TUNNEL_CONFIG_LEFTIP; Device.FAP.Ipsec.{i}.TUNNEL_ENABLE; Device.FAP.Ipsec.{i}.TUNNEL_FRAGMENTATION; Device.FAP.Ipsec.{i}.TUNNEL_GATEWAY; Device.FAP.Ipsec.{i}.TUNNEL_LEFT_AUTH; Device.FAP.Ipsec.{i}.TUNNEL_LEFT_CERT; Device.FAP.Ipsec.{i}.TUNNEL_NAME; Device.FAP.Ipsec.{i}.TUNNEL_RIGHT_AUTH; Device.FAP.Ipsec.{i}.TUNNEL_SECRET_KEY; Device.FAP.Ipsec.{i}.USED_SOURCE_IP; Device.FAP.LanConfig.LanDhcpEndIp; Device.FAP.LanConfig.LanDhcpNetmask; Device.FAP.LanConfig.LanDhcpStartIp; Device.FAP.LanConfig.LanNetctlSwitch; Device.FAP.NL.{i}; Device.FAP.NL.{i}.band; Device.FAP.NL.{i}.cellID; Device.FAP.NL.{i}.channelNum; Device.FAP.NL.{i}.freqUncerThreshlod; Device.FAP.NL.{i}.phaseOffset; Device.FAP.NL.{i}.priority; Device.FAP.NL.{i}.syncInterval; Device.FAP.NL.{i}.technology; Device.FAP.PTP1588.DelayInterval; Device.FAP.PTP1588.Domain; Device.FAP.PTP1588.Interface; Device.FAP.PTP1588.IpAddr; Device.FAP.PTP1588.Profile; Device.FAP.PTP1588.ServerAddr; Device.FAP.PTP1588.SyncInterval; Device.FAP.PTP1588.Transmode; Device.FAP.PTP1588.UnicastMode; Device.FAP.PTP1588.VlanId; Device.FAP.Synchronization.ClockSourceSyncState; Device.FAP.Synchronization.PpsTimeMode; Device.FAP.TFCS.primSrc; Device.FAP.TfcsParams.PrimSrc; Device.FAP.TfcsParams.SyncMode; Device.FAP.gNB.config.DhcpDns; Device.FAP.gNB.config.DnsType; Device.FAP.gNB.config.dns
DeviceGSM.Bts,57,DeviceGSM.Bts.Index; DeviceGSM.Bts.Trx.Index; DeviceGSM.Bts.{i}.Band; DeviceGSM.Bts.{i}.Bsic; DeviceGSM.Bts.{i}.C0PowerRed; DeviceGSM.Bts.{i}.CellId; DeviceGSM.Bts.{i}.CellReselectHysteresis; DeviceGSM.Bts.{i}.CellReselectOffset; DeviceGSM.Bts.{i}.CellReselectPenaltyTime; DeviceGSM.Bts.{i}.CodecSupport; DeviceGSM.Bts.{i}.GprsMode; DeviceGSM.Bts.{i}.HandoverAlgorithm; DeviceGSM.Bts.{i}.IpaRslIp; DeviceGSM.Bts.{i}.IpaUnitId; DeviceGSM.Bts.{i}.LocationAreaCode; DeviceGSM.Bts.{i}.MsMaxPower; DeviceGSM.Bts.{i}.NeighborCgiAdd; DeviceGSM.Bts.{i}.NeighborCgiDel; DeviceGSM.Bts.{i}.NeighborListMode; DeviceGSM.Bts.{i}.NumofTrxChannel; DeviceGSM.Bts.{i}.OmlConnectState; DeviceGSM.Bts.{i}.OmlIpaStreamId; DeviceGSM.Bts.{i}.RachCellBarred; DeviceGSM.Bts.{i}.Si2quaterNeighborListAdd; DeviceGSM.Bts.{i}.Si2quaterNeighborListDel; DeviceGSM.Bts.{i}.Trx.{i}.Arfcn; DeviceGSM.Bts.{i}.Trx.{i}.MaxPowerRed; DeviceGSM.Bts.{i}.Trx.{i}.RfLocked; DeviceGSM.Bts.{i}.Trx.{i}.Ts.{i}.PhyChanConfig; DeviceGSM.Bts.{i}.handover; DeviceGSM.Bts.{i}.handover1.maximum.distance; DeviceGSM.Bts.{i}.handover1.power.budget.hysteresis; DeviceGSM.Bts.{i}.handover1.power.budget.interval; DeviceGSM.Bts.{i}.handover1.window.rxlev.averaging; DeviceGSM.Bts.{i}.handover1.window.rxlev.neighbor.averaging; DeviceGSM.Bts.{i}.handover1.window.rxqual.averaging; DeviceGSM.Bts.{i}.handover2.afs-bias.rxlev; DeviceGSM.Bts.{i}.handover2.afs-bias.rxqual; DeviceGSM.Bts.{i}.handover2.assignment; DeviceGSM.Bts.{i}.handover2.max-handovers; DeviceGSM.Bts.{i}.handover2.maximum.distance; DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-f; DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-h; DeviceGSM.Bts.{i}.handover2.min.rxlev; DeviceGSM.Bts.{i}.handover2.min.rxqual; DeviceGSM.Bts.{i}.handover2.penalty-time.failed-assignment; DeviceGSM.Bts.{i}.handover2.penalty-time.failed-ho; DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-assignment; DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-ho; DeviceGSM.Bts.{i}.handover2.penalty-time.max-distance; DeviceGSM.Bts.{i}.handover2.power.budget.hysteresis; DeviceGSM.Bts.{i}.handover2.power.budget.interval; DeviceGSM.Bts.{i}.handover2.retries; DeviceGSM.Bts.{i}.handover2.tdma-measurement; DeviceGSM.Bts.{i}.handover2.window.rxlev.averaging; DeviceGSM.Bts.{i}.handover2.window.rxlev.neighbor.averaging; DeviceGSM.Bts.{i}.handover2.window.rxqual.averaging
Device.Services.FAPService,41,Device.Services.FAPService.Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.DLBandwidth; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.ArpPci; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.ArpPl; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.ArpPvi; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.GbrDl; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.GbrUl; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.MbrDl; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.MbrUl; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.PccId; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.PccName; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.PfList; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.Precedence; Device.Services.FAPService.EMBEDDED_EPCBearerLBOQos.{i}.Qci; Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.{i}; Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.{i}.AppName; Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.{i}.IpMask; Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.{i}.IpPort; Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.{i}.PfId; Device.Services.FAPService.EMBEDDED_EPCBearerLBOTft.{i}.ProtocolId; Device.Services.FAPService.Ipsec.IPSEC_ASN_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_CFG_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_CHD_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_ESP_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_IKE_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_IMSI; Device.Services.FAPService.Ipsec.IPSEC_KEY; Device.Services.FAPService.Ipsec.IPSEC_KNL_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_LIB_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_MGR_DEBUG_LEVEL; Device.Services.FAPService.Ipsec.IPSEC_MSS; Device.Services.FAPService.Ipsec.IPSEC_MTU; Device.Services.FAPService.Ipsec.IPSEC_OPC; Device.Services.FAPService.Ipsec.IPSEC_PORT; Device.Services.FAPService.Ipsec.IPSEC_PORT_NAT_T; Device.Services.FAPService.Ipsec.IPSEC_RETRY_INITIATE_INTERVAL; Device.Services.FAPService.Ipsec.IPSEC_RIGHTIKEPORT; Device.Services.FAPService.Ipsec.IPSEC_USIM_ENABLE; Device.Services.FAPService.Ipsec.IpsecUsimAuthenticationEnable; Device.Services.FAPService.Ipsec.LEFT_INTERFACE; Device.Services.FAPService.MmePoolConfigParam.{i}.MMEIp
Device.Services,33,Device.Services.GsmBTSCellDT.{i}.BscSelect; Device.Services.GsmBTSCellDT.{i}.CellStateControl; Device.Services.GsmBTSCellDT.{i}.CurrLocAreaCode; Device.Services.GsmBTSCellDT.{i}.CurrentArfcn; Device.Services.GsmBTSCellDT.{i}.GsmBSIC; Device.Services.GsmBTSCellDT.{i}.GsmBtsBand; Device.Services.GsmBTSCellDT.{i}.GsmBtsBindMib; Device.Services.GsmBTSCellDT.{i}.GsmBtsCellActiveBefore; Device.Services.GsmBTSCellDT.{i}.GsmBtsIfname; Device.Services.GsmBTSCellDT.{i}.GsmBtsIpAddr; Device.Services.GsmBTSCellDT.{i}.GsmBtsRFPower; Device.Services.GsmBTSCellDT.{i}.GsmCellID; Device.Services.GsmBTSCellDT.{i}.GsmCellWithRuRelation; Device.Services.GsmBTSCellDT.{i}.GsmDlPhyDelayTime; Device.Services.GsmBTSCellDT.{i}.GsmMACStubVal; Device.Services.GsmBTSCellDT.{i}.GsmMACTraceMsgType; Device.Services.GsmBTSCellDT.{i}.GsmMACTraceNum; Device.Services.GsmBTSCellDT.{i}.GsmMACTtiSwitch; Device.Services.GsmBTSCellDT.{i}.GsmUlPhyDelayTime; Device.Services.GsmBTSCellDT.{i}.IPAUnitID; Device.Services.GsmBTSCellDT.{i}.InUse; Device.Services.GsmBTSCellDT.{i}.MobileNetworkCode; Device.Services.GsmBTSCellDT.{i}.NetworkCountryCode; Device.Services.GsmBTSCellDT.{i}.OMLRemoteIP; Device.Services.GsmBTSCellDT.{i}.OMLRemoteIPBak; Device.Services.GsmBTSCellDT.{i}.OpState; Device.Services.GsmBTSCellDT.{i}.PhyCatchIq; Device.Services.GsmBTSCellDT.{i}.PhyStop; Device.Services.GsmBTSCellDT.{i}.RTPJitterBuffer; Device.Services.GsmBTSCellDT.{i}.RfState; Device.Services.GsmBTSCellDT.{i}.TrxNum; Device.Services.GsmBTSCellDT.{i}.UeCount; Device.Services.lmt.userConfig.{i}.pass
Device.KeepalivedMgmt,25,Device.KeepalivedMgmt.CounterCheck; Device.KeepalivedMgmt.Enable; Device.KeepalivedMgmt.LocalUplinkIpAddr; Device.KeepalivedMgmt.ManualSwitch; Device.KeepalivedMgmt.MaxVrrpEntries; Device.KeepalivedMgmt.RemoteUplinkIpAddr; Device.KeepalivedMgmt.RouterId; Device.KeepalivedMgmt.SecondTimeout; Device.KeepalivedMgmt.VrrpMgmt.Index; Device.KeepalivedMgmt.VrrpMgmt.{i}.AdvertInt; Device.KeepalivedMgmt.VrrpMgmt.{i}.DstIpAddr; Device.KeepalivedMgmt.VrrpMgmt.{i}.Enable; Device.KeepalivedMgmt.VrrpMgmt.{i}.Interface; Device.KeepalivedMgmt.VrrpMgmt.{i}.MaxVirtualIpEntries; Device.KeepalivedMgmt.VrrpMgmt.{i}.Name; Device.KeepalivedMgmt.VrrpMgmt.{i}.Priority; Device.KeepalivedMgmt.VrrpMgmt.{i}.SrcIpAddr; Device.KeepalivedMgmt.VrrpMgmt.{i}.State; Device.KeepalivedMgmt.VrrpMgmt.{i}.VirtualIpList.{i}.IP; Device.KeepalivedMgmt.VrrpMgmt.{i}.VirtualIpList.{i}.Interface; Device.KeepalivedMgmt.VrrpMgmt.{i}.VirtualIpList.{i}.Label; Device.KeepalivedMgmt.VrrpMgmt.{i}.VirtualIpList.{i}.NetmaskPrefix; Device.KeepalivedMgmt.VrrpMgmt.{i}.VirtualIpNumberOfEntries; Device.KeepalivedMgmt.VrrpMgmt.{i}.VirtualRouterId; Device.KeepalivedMgmt.VrrpNumberOfEntries
DeviceGSM.Cs7Instance,24,DeviceGSM.Cs7Instance.ForAs.Index; DeviceGSM.Cs7Instance.ForAsp.Index; DeviceGSM.Cs7Instance.ForSccpAddr.Index; DeviceGSM.Cs7Instance.{i}.As.{i}.Name; DeviceGSM.Cs7Instance.{i}.As.{i}.RoutingKey; DeviceGSM.Cs7Instance.{i}.As.{i}.TrafficMode; DeviceGSM.Cs7Instance.{i}.As.{i}.addAspName; DeviceGSM.Cs7Instance.{i}.As.{i}.delAspName; DeviceGSM.Cs7Instance.{i}.Asp.{i}.AspRole; DeviceGSM.Cs7Instance.{i}.Asp.{i}.LocalIp; DeviceGSM.Cs7Instance.{i}.Asp.{i}.LocalPort; DeviceGSM.Cs7Instance.{i}.Asp.{i}.Name; DeviceGSM.Cs7Instance.{i}.Asp.{i}.Protocol; DeviceGSM.Cs7Instance.{i}.Asp.{i}.RemoteIp; DeviceGSM.Cs7Instance.{i}.Asp.{i}.RemotePort; DeviceGSM.Cs7Instance.{i}.Asp.{i}.SctpRole; DeviceGSM.Cs7Instance.{i}.NetworkIndicator; DeviceGSM.Cs7Instance.{i}.PointCode; DeviceGSM.Cs7Instance.{i}.PointCodeFormat; DeviceGSM.Cs7Instance.{i}.SccpAddr.{i}.Name; DeviceGSM.Cs7Instance.{i}.SccpAddr.{i}.PointCode; DeviceGSM.Cs7Instance.{i}.SccpAddr.{i}.RoutingIndicator; DeviceGSM.Cs7Instance.{i}.SccpAddr.{i}.SubsystemNumber; DeviceGSM.Cs7Instance.{i}.XuaRkmRoutingKeyAllocation
DeviceGSM.handover2,21,DeviceGSM.handover2.afs-bias.rxlev; DeviceGSM.handover2.afs-bias.rxqual; DeviceGSM.handover2.assignment; DeviceGSM.handover2.max-handovers; DeviceGSM.handover2.maximum.distance; DeviceGSM.handover2.min-free-slots.tch-f; DeviceGSM.handover2.min-free-slots.tch-h; DeviceGSM.handover2.min.rxlev; DeviceGSM.handover2.min.rxqual; DeviceGSM.handover2.penalty-time.failed-assignment; DeviceGSM.handover2.penalty-time.failed-ho; DeviceGSM.handover2.penalty-time.low-rxqual-assignment; DeviceGSM.handover2.penalty-time.low-rxqual-ho; DeviceGSM.handover2.penalty-time.max-distance; DeviceGSM.handover2.power.budget.hysteresis; DeviceGSM.handover2.power.budget.interval; DeviceGSM.handover2.retries; DeviceGSM.handover2.tdma-measurement; DeviceGSM.handover2.window.rxlev.averaging; DeviceGSM.handover2.window.rxlev.neighbor.averaging; DeviceGSM.handover2.window.rxqual.averaging
DeviceGSM.Msc,18,DeviceGSM.Msc.{i}.AllowEmergency; DeviceGSM.Msc.{i}.Amr10_2; DeviceGSM.Msc.{i}.Amr12_2; DeviceGSM.Msc.{i}.Amr4_75; DeviceGSM.Msc.{i}.Amr5_15; DeviceGSM.Msc.{i}.Amr5_90; DeviceGSM.Msc.{i}.Amr6_70; DeviceGSM.Msc.{i}.Amr7_40; DeviceGSM.Msc.{i}.Amr7_95; DeviceGSM.Msc.{i}.AmrPayload; DeviceGSM.Msc.{i}.AspProtocol; DeviceGSM.Msc.{i}.AttachProportion; DeviceGSM.Msc.{i}.LclsMismatch; DeviceGSM.Msc.{i}.LclsMode; DeviceGSM.Msc.{i}.MscAddr; DeviceGSM.Msc.{i}.MscCodecList; DeviceGSM.Msc.{i}.NriAdd; DeviceGSM.Msc.{i}.NriDel
Device.RemoteDeviceList,13,Device.RemoteDeviceList.{i}.AdminState; Device.RemoteDeviceList.{i}.ConnStatus; Device.RemoteDeviceList.{i}.HardwareVersion; Device.RemoteDeviceList.{i}.IpAddress; Device.RemoteDeviceList.{i}.LastLogin; Device.RemoteDeviceList.{i}.LastLogout; Device.RemoteDeviceList.{i}.Latitude; Device.RemoteDeviceList.{i}.Longitude; Device.RemoteDeviceList.{i}.PhyState; Device.RemoteDeviceList.{i}.SerialNumber; Device.RemoteDeviceList.{i}.SoftwareVersion; Device.RemoteDeviceList.{i}.SyncState; Device.RemoteDeviceList.{i}.TfcsSyncMgrState
Device.LAN_HostConfigManagement,8,Device.LAN_HostConfigManagement.IPInterface.NRCU.F1UIpAddr; Device.LAN_HostConfigManagement.IPInterface.NRCU.F1apLocalIpAddr; Device.LAN_HostConfigManagement.IPInterface.NRCU.XnapLocalIpAddr; Device.LAN_HostConfigManagement.IPInterface.NRDU.DuF1UIpAddr; Device.LAN_HostConfigManagement.IPInterface.NRDU.DuF1apLocalIpAddr; Device.LAN_HostConfigManagement.IPInterface.NRDU.DuF1apRemoteIpAddr; Device.LAN_HostConfigManagement.IPInterface.NgapMgmt.NgapLocalIpAddrList; Device.LAN_HostConfigManagement.IPInterface.NgapMgmt.NguLocalIpAddrList
