standard_param_id,path,path_root,entry_type,access,data_type,change_applies,description,mml_action,already_in_mml,current_mml_commands,match_method,target_chapter_code,target_chapter_name,target_node_name,target_object_path,target_group_code,candidate_commands,feasibility,note
fe6fd10b-4cad-46e3-b362-8e8f3a34a053,Device.DeviceInfo.EU.,Device,object,READ_ONLY,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SA,设备信息参数管理,EU,Device.DeviceInfo.EU.,DEVICE_DEVICEINFO_EU,LST EU,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
fae96749-38b7-4c20-af3b-9ff17a7f58fe,Device.DeviceInfo.EU.{i}.RU.,Device,object,READ_ONLY,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SA,设备信息参数管理,RU,Device.DeviceInfo.EU.{i}.RU.,DEVICE_DEVICEINFO_EU_RU,LST RU;ADD RU;RMV RU,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
f59704e4-7710-48aa-a43b-886a9fcd2ffc,Device.FaultMgmt.CurrentAlarm.,Device,object,READ_ONLY,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SD,告警参数管理,CurrentAlarm,Device.FaultMgmt.CurrentAlarm.,DEVICE_FAULTMGMT_CURRENTALARM,LST CURRENT_ALARM,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
d853f714-ccc8-47f4-b795-68af4b2c4579,Device.FaultMgmt.ExpeditedEvent.,Device,object,READ_ONLY,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SD,告警参数管理,ExpeditedEvent,Device.FaultMgmt.ExpeditedEvent.,DEVICE_FAULTMGMT_EXPEDITEDEVENT,LST EXPEDITED_EVENT,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
ebf92dd0-09f4-4f75-b021-1618bd33d936,Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.Capacity.,Device,object,READ_ONLY,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SF,小区服务参数管理,Capacity,Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.Capacity.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_LICENSE_CAPACITY,LST CAPACITY;ADD CAPACITY;RMV CAPACITY,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
58e4cd49-aba2-4505-8b89-e94e1eb40127,Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.,Device,object,READ_ONLY,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SF,小区服务参数管理,LICENSE,Device.Services.FAPService.{i}.FAPControl.LTE.LICENSE.,DEVICE_SERVICES_FAPSERVICE_FAPCONTROL_LTE_LICENSE,LST LICENSE;ADD LICENSE;RMV LICENSE,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
9379ec10-bd7b-4069-881e-d1598e5139cb,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.5GCell.,Device,object,READ_WRITE,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SI,邻区参数管理,5GCell,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.5GCell.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_NEIGHBORLIST_5GCELL,LST 5_GCELL;ADD 5_GCELL;RMV 5_GCELL,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
6611e192-e224-4da5-a143-be1676d284de,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.,Device,object,READ_ONLY,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SI,邻区参数管理,GSM,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.InterRATCell.GSM.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_NEIGHBORLIST_INTERRATCELL_GSM,LST INTER_RATCELL_GSM;ADD INTER_RATCELL_GSM;RMV INTER_RATCELL_GSM,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
6f6e2f00-8463-42aa-990b-676ec8896da5,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.,Device,object,READ_WRITE,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SI,邻区参数管理,LTECell,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_NEIGHBORLIST_LTECELL,LST LTECELL;ADD LTECELL;RMV LTECELL,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
c31a3149-f840-48ae-bdb4-226151953a2b,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.,Device,object,READ_WRITE,Immediate,2026-05-31 11:28:47.930253+08,,object_can_seed_new_command_node,no,,,SI,邻区参数管理,LTECell,Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.,DEVICE_SERVICES_FAPSERVICE_CELLCONFIG_LTE_RAN_NEIGHBORLIST_LTECELL,LST LTECELL;ADD LTECELL;RMV LTECELL,可加入,object 行不能作为 sub_field；可作为新对象命令节点/ADD/RMV 目标。
