attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
IU_CORE_NET_ADDRESS,NON_VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
LTE_MAX_PM_FILES,NON_VOLATILE,15,,0,,,,READ_WRITE,5,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
ENB_IP_ADDR_IPV4,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,SLOT,FAP,0,9,49
ENB_IP_ADDR_IPV4,VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
ENB_IP_ADDR_IPV6,VOLATILE,65535,,0,,,,READ_WRITE,0:0:0:0:0:0:0:0,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
ENB_BR0_IP_ADDRESS,VOLATILE,65535,,0,,,,READ_ONLY,,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
UDP_CONN_REQ_ADDR,NON_VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,Device.ManagementServer.UDPConnectionRequestAddress,READ_ONLY,STRING,0,256,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_UDP_CONN_REQ_ADDR,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
STUN_ENABLE,NON_VOLATILE,4294967295,,0,,,,READ_WRITE,0,,,,,U32,,,,,,{},,Device.ManagementServer.STUNEnable,READ_WRITE,BOOLEAN,,,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_ENABLE,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
STUN_SERVER_ADDRESS,NON_VOLATILE,65535,,0,,,,READ_WRITE,0.0.0.0,,,,,STRING,,,,,,{},,Device.ManagementServer.STUNServerAddress,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_SERVER_ADDRESS,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
STUN_SERVER_PORT,NON_VOLATILE,4294967295,,0,,,,READ_WRITE,3478,,,,,U32,,,,,,{},,Device.ManagementServer.STUNServerPort,READ_WRITE,U_INT,0,65535,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_SERVER_PORT,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
STUN_LOCAL_PORT,NON_VOLATILE,65535,,0,,,,READ_WRITE,3478,,,,,U32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
STUN_USERNAME,NON_VOLATILE,65535,,0,,,,READ_WRITE,,,,,,STRING,,,,,,{},,Device.ManagementServer.STUNUsername,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_USERNAME,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
STUN_PASSWORD,NON_VOLATILE,65535,,0,,,,READ_WRITE,,,,,,STRING,,,,,,{},,Device.ManagementServer.STUNPassword,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_PASSWORD,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
STUN_MIN_KEEPALIVE_PERIOD,NON_VOLATILE,4294967295,,0,,,,READ_WRITE,30,,,,,U32,,,,,,{},,Device.ManagementServer.STUNMinimumKeepAlivePeriod,READ_WRITE,U_INT,,,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_MIN_KEEPALIVE_PERIOD,,,46,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
STUN_MAX_KEEPALIVE_PERIOD,NON_VOLATILE,2147483647,,-2147483648,,,,READ_WRITE,120,,,,,S32,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
LDAP_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,,,,{},,Device.Ldap.Enable,READ_WRITE,BOOLEAN,,,,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_LDAP_ENABLE,,,44,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
LDAP_URL,NON_VOLATILE,256,,0,,,,READ_WRITE,,,,,,STRING,,,,,,{},,Device.Ldap.URL,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,,GROUP_ID_INVALID,FAP.0,PARAM_ID_LDAP_URL,,,44,"{'BSCSupport': 'true', 'BTSSupport': 'true', 'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,49
LDAP_LAST_URL,VOLATILE,256,,0,,,,READ_WRITE,,,,,,STRING,,,,,,{},,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,49
