attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
IU_CORE_NET_ADDRESS,NON_VOLATILE,,,,,,,READ_WRITE,0.0.0.0,,,,,STRING,Fqdn,,Iu Core Network IP Address,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '249和452无区别', 'remark': '该参数是3G UMTS网络中Iu接口的核心网IP地址，用于基站与服务GPRS支持节点或移动交换中心（MSC）之间的通信连接。Iu接口是无线接入网（UTRAN）和核心网（CN）之间的关键接口，负责传输用户数据、信令及控制信息。', 'support_lmt': 0, 'version_no': '5.1'}",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
LTE_MAX_PM_FILES,NON_VOLATILE,15,,0,,,,READ_WRITE,5,,,,,U32,,,LTE_MAX_PM_FILES,,,{},"{'effect_type': '重启生效', 'lmt_path': '', 'param_doc': '249和452无区别', 'remark': '该参数用于定义LTE基站性能管理（Performance Management, PM）数据文件的最大存储数量，限制基站本地可保存的性能统计文件（如计数器、KPI指标等）的个数，以避免存储空间耗尽。该参数的取值直接影响历史性能数据的保留周期，当存储文件数达到该参数设定的阈值时，系统将自动删除最旧的文件以腾出空间。', 'support_lmt': 0, 'version_no': '5.1'}",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
ENB_IP_ADDR_IPV4,VOLATILE,,,,,,,READ_WRITE,0.0.0.0,,,,,STRING,IpAddress,,Femto-Gateway-Facing interface local IP Address,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '有区别，分别在249和452对应的宏定义里面进行订阅', 'remark': '小基站与FGW通信时，设别本地接口所配置的IPv4地址。', 'support_lmt': 0, 'version_no': '5.1'}",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,SLOT,FAP,,4,19
ENB_IP_ADDR_IPV4,VOLATILE,,,,,,,READ_WRITE,0.0.0.0,,,,,STRING,IpAddress,,Femto-Gateway-Facing interface local IP Address,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '有区别，分别在249和452对应的宏定义里面进行订阅', 'remark': '小基站与FGW通信时，设别本地接口所配置的IPv4地址。', 'support_lmt': 0, 'version_no': '5.1'}",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
ENB_IP_ADDR_IPV6,VOLATILE,,,,,,,READ_WRITE,0:0:0:0:0:0:0:0,,,,,STRING,IpAddress,,ENB IP Address,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '有区别，分别在249和452对应的宏定义里面进行订阅', 'remark': '小基站与FGW通信时，设别本地接口所配置的IPv6地址。', 'support_lmt': 0, 'version_no': '5.1'}",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
ENB_BR0_IP_ADDRESS,VOLATILE,,,,,,,READ_ONLY,,,,,,STRING,,,,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '有区别，在452宏定义中buildMotree 使用到，在249宏定义中未被使用', 'remark': '只读参数，代码里面没有实际用到的地方', 'support_lmt': 0, 'version_no': '5.1'}",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
UDP_CONN_REQ_ADDR,NON_VOLATILE,,,,,,,READ_WRITE,0.0.0.0,,,,,STRING,IpAddress,,Serving Public IP Address In Stun,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '249和452无区别', 'remark': '该参数是基站在NAT（网络地址转换）穿透场景下使用的STUN（Session Traversal Utilities for NAT）协议配置参数，用于指定STUN服务器的公网IP地址，帮助基站识别自身在公网中的映射地址和端口。当基站部署在私有网络（如企业内网）并通过NAT设备连接核心网时，该参数使基站能通过STUN协议探测NAT设备分配的公网IP和端口号，从而建立正确的S1/X2接口连接。根据RFC 5389标准，STUN协议采用UDP传输，默认端口3478，基站需以该参数指定的地址发起STUN Binding Request来获取NAT信息。', 'support_lmt': 0, 'version_no': '5.1'}",Device.ManagementServer.UDPConnectionRequestAddress,READ_ONLY,STRING,0,256,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_UDP_CONN_REQ_ADDR,,,8,"{'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
STUN_ENABLE,NON_VOLATILE,,,,,,,READ_WRITE,0,,,,,U32,,,STun Enable,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '249和452无区别', 'remark': '该参数是基站用于控制STUN（Session Traversal Utilities for NAT）协议功能的开关，决定基站是否主动探测NAT（网络地址转换）映射信息。当该参数设置为""ENABLE""时，基站会向配置的STUN服务器发送探测请求，获取NAT设备分配的公网IP和端口，用于建立S1/X2接口连接；若设置为""DISABLE""，则基站不会执行STUN探测，在NAT环境下可能导致S1/X2接口无法正常建立。', 'support_lmt': 0, 'version_no': '5.1'}",Device.ManagementServer.STUNEnable,READ_WRITE,BOOLEAN,,,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_ENABLE,,,8,"{'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
STUN_SERVER_ADDRESS,NON_VOLATILE,,,,,,,READ_WRITE,0.0.0.0,,,,,STRING,IpAddress,,Serving Stun Server IP Address,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '249和452无区别', 'remark': '该参数是基站在NAT穿透场景的STUN（Session Traversal Utilities for NAT）服务器IP地址。', 'support_lmt': 0, 'version_no': '5.1'}",Device.ManagementServer.STUNServerAddress,READ_WRITE,STRING,0,256,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_SERVER_ADDRESS,,,8,"{'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
STUN_SERVER_PORT,NON_VOLATILE,,,,,,,READ_WRITE,3478,,,,,U32,,,Serving Stun Server Port Number,,,{},"{'effect_type': '立即生效', 'lmt_path': '', 'param_doc': '249和452无区别', 'remark': '该参数是基站在NAT穿透场景的STUN（Session Traversal Utilities for NAT）服务器端口。', 'support_lmt': 0, 'version_no': '5.1'}",Device.ManagementServer.STUNServerPort,READ_WRITE,U_INT,0,65535,,NO_NOTIFICATION,false,FAP,GROUP_ID_INVALID,FAP.0,PARAM_ID_STUN_SERVER_PORT,,,8,"{'changeApplies': 'Immediate', 'isList': 'false'}",FAP,,,,19
