attr.name,attr.storageclass,attr.max,attr.maxvalue,attr.min,attr.minvalue,attr.schema,attr.bkqdefault,attr.accessclass,attr.default,attr.qadefault,attr.maxinstances,attr.actionclass,attr.o6default,attr.type,attr.validator,attr.mmwdefault,attr.descrip,attr.obj_id,attr.version_id,attr.ext_info,attr.ext_mark,trpath.name,trpath.access,trpath.datatype,trpath.minval,trpath.maxval,trpath.maxinstances,trpath.notify,trpath.forcedinform,trpath.defaultvalue,trpath.mibgroup,trpath.mibdn,trpath.mibattrid,trpath.defaultsupport,trpath.ctsupport,trpath.version_id,trpath.ext_info,obj.name,obj.parent,obj.mininstances,obj.maxinstances,obj.version_id
UPTIME,VOLATILE,,,0,,,,READ_ONLY,0,,,,,U32,,,device summary,,19,,{},Device.DeviceInfo.UpTime,READ_ONLY,U_INT,,,false,NO_NOTIFICATION,true,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_UPTIME,true,true,8,,FAP,,,,19
UPTIME,VOLATILE,,,0,,,,READ_ONLY,0,,,,,U32,,,device summary,,19,,{},Device.DeviceInfo.MU.1.UpTime,READ_ONLY,U_INT,,,false,NO_NOTIFICATION,true,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_UPTIME,true,true,10,,FAP,,,,19
UPTIME,VOLATILE,,,0,,,,READ_ONLY,0,,,,,U32,,,device summary,,19,,{},Device.DeviceInfo.MU.1.Slot.1.UpTime,READ_ONLY,U_INT,,,false,NO_NOTIFICATION,false,0,GROUP_ID_INVALID,FAP.0,PARAM_ID_UPTIME,true,true,10,,FAP,,,,19
DATE_OF_LAST_SERVICE,NON_VOLATILE,255,,0,,,,READ_ONLY,,,,,,STRING,,,,,19,,{},Device.DeviceInfo.MU.1.DateOfLastService,READ_ONLY,DATE_TIME,,,false,NO_NOTIFICATION,false,1970-01-01 00:00:00,GROUP_ID_INVALID,FAP.0,PARAM_ID_DATE_OF_LAST_SERVICE,true,true,10,,FAP,,,,19
IP_VERSION,NON_VOLATILE,2,,1,,,,READ_WRITE,1,,,,,U32,,,"1:IPV4, 2:IPV6",,19,,{},Device.Services.FAPService.1.FAPControl.LocalBreakout.IpRules.RuleList.{i}.IPversion,READ_WRITE,U_INT,1,2,false,NO_NOTIFICATION,false,2560,GROUP_ID_INVALID,FAP.0.FAP_NRCU.0.NR_PDCP_LGW_PARAMS.0.NR_PDCP_LGW_FIVE_TUPLE_RULES_LIST.0.NR_PDCP_LGW_FIVE_TUPLE_RULES.{i},PARAM_ID_IP_VERSION,true,true,10,,NR_PDCP_LGW_FIVE_TUPLE_RULES,NR_PDCP_LGW_FIVE_TUPLE_RULES_LIST,,64,19
IU_CORE_NET_ADDRESS,NON_VOLATILE,,,,,,,READ_WRITE,0.0.0.0,,,,,STRING,Fqdn,,Iu Core Network IP Address,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
FGW0_IP_ADDRESS,NON_VOLATILE,,,,,,,READ_WRITE,127.0.0.1,,,,,STRING,IpAddress,,Femto-Gateway-Facing interface local IP Address,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SERVING_FGW_IP_ADDRESS,VOLATILE,,,,,,,READ_WRITE,0.0.0.0,,,,,STRING,IpAddress,,Serving FGW IP Address,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SERVING_FGW,NON_VOLATILE,3,,1,,,,READ_WRITE,1,,,,,U32,,,Serving FGW,,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
SERVING_IPV6_ENABLE,NON_VOLATILE,1,,0,,,,READ_WRITE,0,,,,,U32,,,"0:IPV4, 1:IPV6",,19,,{},--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,FAP,,,,19
